f_wood,f_foamboard,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
9,2,1,0,0,9,0,2,0,7,0,6,1,0
9,2,2,1,0,9,0,3,0,7,1,10,2,0
9,3,3,3,2,9,1,4,0,7,2,11,3,0
9,4,4,4,4,9,2,4,0,7,2,12,4,0
9,4,6,6,6,9,2,5,0,7,3,15,6,1
9,5,7,8,8,9,3,6,0,7,4,18,7,2
0,6,7,9,10,9,4,7,0,0,4,20,8,4
0,7,8,11,12,9,4,8,0,0,5,23,9,5
1,7,9,12,14,0,5,8,0,1,6,25,10,7
2,7,10,14,16,0,6,8,0,2,7,23,12,8
2,7,9,16,18,1,7,8,0,3,7,21,12,9
3,7,9,16,20,1,7,8,0,4,7,19,12,11
4,7,8,15,20,2,7,8,0,5,7,20,12,12
4,7,8,15,20,3,7,8,0,6,7,20,12,14
5,7,7,15,19,3,7,8,0,7,7,18,12,14
6,7,7,15,18,4,7,8,0,8,7,17,12,14
7,7,7,15,18,4,7,8,0,9,7,16,11,14
7,7,7,15,17,5,7,8,0,9,7,15,11,14
7,7,8,15,17,6,7,8,0,9,7,13,12,14
7,7,9,15,16,6,7,8,0,9,7,12,13,14
7,7,9,15,14,6,7,8,0,9,7,12,14,14
7,7,10,15,13,6,7,8,0,9,7,12,13,14
7,7,11,15,12,6,7,8,0,9,7,12,13,14
7,7,11,16,10,6,7,8,0,9,7,12,13,14
7,7,12,16,10,6,7,8,0,9,7,11,12,14
7,7,13,16,9,6,7,8,0,9,7,11,12,14
7,7,14,16,8,6,7,8,0,9,7,11,13,14
7,7,13,16,7,6,7,8,0,9,7,11,13,14
7,7,13,17,6,6,7,8,0,9,7,11,13,14
7,7,12,17,6,6,7,8,0,9,7,12,12,14
7,7,12,17,6,6,7,8,0,9,7,12,12,14
7,7,11,17,6,6,7,8,0,9,7,11,12,14
7,7,11,17,7,6,7,8,0,9,7,10,13,13
7,7,11,18,7,6,7,8,0,9,7,11,13,12
7,7,11,18,7,6,7,8,0,9,7,11,14,12
7,7,12,18,7,6,7,8,0,9,7,11,15,11
7,7,12,18,7,6,7,8,0,9,7,12,15,11
7,7,13,18,7,6,7,8,0,9,7,12,15,11
7,7,14,18,7,6,7,8,0,9,7,12,15,11
7,7,15,17,7,6,7,8,0,9,6,12,15,12
7,7,16,16,7,6,7,8,0,9,6,13,15,13
7,7,17,17,7,6,7,8,0,9,6,14,15,14
7,7,17,17,7,6,7,8,0,9,6,15,15,16
7,7,17,17,7,6,7,8,0,9,6,14,14,18
7,7,16,17,7,6,7,8,0,9,6,13,13,19
7,7,16,17,7,6,7,8,0,9,6,12,13,21
7,7,16,18,7,6,7,8,0,9,6,11,12,22
7,7,15,18,8,6,7,8,0,9,6,10,12,24
7,7,15,18,8,6,7,8,0,9,6,9,11,25
7,7,14,18,8,6,7,8,0,9,6,8,10,26
7,7,13,19,9,6,7,8,0,9,6,8,10,24
7,7,12,18,9,6,7,8,0,9,6,7,9,23
7,7,12,18,9,6,7,8,0,9,6,6,9,22
7,0,12,17,10,6,7,8,0,9,6,7,9,20
7,7,11,17,10,6,7,0,0,9,6,7,9,18
7,7,11,16,10,6,7,8,0,9,6,7,8,16
7,7,10,16,10,6,0,8,0,9,0,7,8,14
7,7,10,15,10,6,7,8,0,9,6,7,8,13
7,7,10,15,10,6,7,7,0,9,6,8,8,11
7,7,10,15,10,6,7,7,0,9,6,8,8,9
7,7,11,16,10,6,7,7,0,9,6,8,7,9
7,7,12,17,10,6,7,7,0,9,6,8,7,8
0,7,12,18,10,6,7,7,0,9,6,8,7,8
7,7,13,18,10,0,7,7,0,9,6,8,7,8
7,7,14,19,10,6,7,7,0,0,6,8,7,8
7,7,14,19,10,6,7,7,0,9,6,8,7,9
7,7,15,20,10,6,7,7,0,9,6,8,7,10
7,7,16,21,10,6,7,7,0,9,6,8,7,11
7,7,17,21,10,6,7,7,0,9,6,8,8,12
7,7,17,21,10,6,7,7,0,9,6,8,8,14
7,7,17,21,10,6,7,7,0,9,6,8,9,14
7,7,17,21,10,6,7,7,0,9,6,8,9,14
7,7,17,21,10,6,7,7,0,9,6,8,10,14
7,7,17,21,10,6,7,7,0,9,6,8,10,14
7,7,17,22,10,6,7,7,0,9,6,8,12,15
7,7,17,23,0,6,7,7,0,9,6,8,13,14
7,7,16,22,10,6,7,7,0,9,6,8,15,13
7,7,15,21,10,6,7,7,0,9,6,8,14,12
7,7,14,20,10,6,7,7,0,9,6,8,14,11
7,7,13,19,10,6,7,7,0,9,6,8,14,10
7,7,12,18,11,6,7,7,0,9,6,8,13,11
7,7,11,17,11,6,7,7,0,9,6,8,13,12
7,7,10,16,12,6,7,7,0,9,6,8,13,14
7,7,9,14,13,6,7,7,0,9,6,7,12,15
7,7,8,12,13,6,7,7,0,9,6,7,11,17
7,7,7,11,14,6,7,7,0,9,6,7,10,18
7,7,7,13,14,6,7,7,0,9,6,7,9,19
7,7,7,14,15,6,7,7,0,9,6,7,9,21
7,7,7,16,15,6,7,7,0,9,6,0,10,22
7,7,8,17,14,6,7,7,0,9,6,7,11,22
7,7,9,19,13,6,7,7,0,9,6,7,12,20
7,7,9,21,13,6,7,7,0,9,6,7,13,18
7,7,10,23,13,6,7,7,0,9,6,7,14,16
7,7,10,25,12,6,7,7,0,9,6,7,15,15
7,7,11,27,12,6,7,7,0,9,6,7,16,13
7,7,11,27,12,6,7,7,0,9,6,7,17,11
7,7,12,27,11,6,7,7,0,9,6,7,18,9
7,7,12,28,11,6,7,7,0,9,6,7,19,7
7,7,13,28,12,6,7,7,0,9,6,7,20,6
7,7,13,29,12,6,7,7,0,9,6,7,20,6
7,7,13,29,13,6,7,7,0,9,6,7,19,6
7,7,13,0,13,6,7,7,0,9,6,7,18,6
7,7,13,29,12,6,7,7,0,9,6,7,17,6
7,7,13,29,12,6,7,7,0,9,6,7,16,6
7,0,12,30,12,6,7,7,0,9,6,7,0,6
7,7,11,31,12,6,7,7,0,9,6,7,14,6
7,7,10,31,12,6,7,0,0,9,6,7,13,6
7,7,10,32,12,6,0,7,0,9,0,7,11,6
7,7,9,33,12,6,7,7,0,9,6,7,9,6
7,7,8,33,12,6,7,7,0,9,6,7,8,7
7,7,8,34,12,6,7,7,0,9,6,7,8,8
7,7,7,35,12,6,7,7,0,9,6,7,7,9
7,7,0,36,12,6,7,7,0,9,6,7,7,10
0,7,6,36,12,6,7,7,0,9,6,7,8,10
7,7,7,36,12,0,7,7,0,9,6,7,8,10
7,7,7,36,12,6,7,7,0,0,6,7,9,10
7,7,7,36,12,6,7,7,0,9,6,8,10,0
7,7,7,36,13,6,7,7,0,9,6,8,10,11
7,7,7,36,14,6,7,7,0,9,6,9,11,11
7,7,8,34,16,6,7,7,0,9,6,10,12,10
7,7,8,32,17,6,7,7,0,9,6,10,13,9
7,7,8,30,18,6,7,7,0,9,6,10,14,8
7,7,9,29,20,6,7,7,0,9,6,10,14,8
7,7,10,27,21,6,7,7,0,9,6,10,14,8
7,7,10,25,23,6,7,7,0,9,6,10,14,8
7,7,11,24,24,6,7,7,0,9,6,10,14,8
7,7,12,22,25,6,7,7,0,9,6,9,14,8
7,7,12,20,25,6,7,7,0,9,6,8,13,8
7,7,13,19,26,6,7,7,0,9,6,8,12,8
7,7,14,19,26,6,7,7,0,9,6,7,11,7
7,7,15,19,24,6,7,7,0,9,6,7,11,7
7,7,15,19,22,6,7,7,0,9,6,7,10,7
7,7,15,19,20,6,7,7,0,9,6,7,9,7
7,7,15,19,19,6,7,7,0,9,6,7,9,7
7,7,14,19,17,6,7,7,0,9,6,7,8,6
7,7,14,19,16,6,7,7,0,9,6,7,7,6
7,7,13,19,14,6,7,7,0,9,6,8,7,6
7,7,13,19,12,6,7,7,0,9,6,9,7,6
7,7,13,19,10,6,7,7,0,9,6,10,7,6
7,7,12,19,9,6,7,7,0,9,6,11,7,6
7,7,12,19,9,6,7,7,0,9,6,11,7,6
7,7,12,19,9,6,7,7,0,9,6,11,7,6
7,7,12,19,8,6,7,7,0,9,6,11,7,6
7,7,11,19,8,6,7,7,0,9,6,11,7,6
7,7,12,19,7,6,7,7,0,9,6,11,7,6
7,7,11,19,7,6,7,7,0,9,6,12,7,6
7,7,11,19,7,6,7,7,0,9,6,11,7,6
7,7,10,19,8,6,7,7,0,9,6,9,8,6
7,7,10,19,8,6,7,7,0,9,6,8,8,6
7,7,9,19,9,6,7,7,0,9,6,7,9,6
7,7,9,18,10,6,7,7,0,9,6,8,9,6
7,7,8,18,11,6,7,7,0,9,6,8,10,6
7,7,8,17,11,6,7,7,0,9,6,8,10,6
7,7,7,17,11,6,7,7,0,9,6,8,11,6
7,7,7,16,11,6,7,7,0,9,6,8,11,6
7,0,7,16,11,6,7,7,0,9,6,0,12,6
7,7,7,15,10,6,7,7,0,9,6,7,12,6
7,7,7,15,10,6,7,0,0,9,6,7,12,6
7,7,7,14,9,6,0,7,0,9,0,7,13,6
7,7,8,14,8,6,7,7,0,9,6,7,14,7
7,7,8,14,7,6,7,7,0,9,6,6,15,8
7,7,9,14,6,6,7,7,0,9,6,6,16,9
7,7,9,14,7,6,7,7,0,9,6,6,17,11
