flat_w,flat_f,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
5,9,0,0,0,7,0,0,7,0,0,7,10,2
0,0,0,7,4,1,16,0,0,9,0,0,10,2
0,0,0,0,0,3,5,0,4,0,6,0,7,10
0,0,0,0,4,6,0,0,0,0,24,3,17,0
0,0,0,0,0,20,0,0,0,0,4,0,2,33
0,0,0,0,0,0,0,0,3,0,4,0,5,0
0,0,0,0,0,0,0,0,0,0,0,7,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,2,0,2,0,0,0,0,0,3,0,15
5,0,0,0,0,2,0,0,0,1,0,0,0,5
0,0,0,2,0,0,0,6,0,3,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,3,0,7,1,1,0,0,5,11,0,0,10,0
0,0,0,0,0,3,5,0,0,2,0,0,0,20
0,0,0,0,6,6,0,0,0,0,0,11,11,0
3,0,0,0,0,20,0,0,0,0,1,0,9,18
0,0,0,0,0,11,0,0,0,4,11,0,0,0
0,0,0,0,0,0,0,0,2,4,0,18,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0,0,28,0
2,0,0,0,0,0,5,0,7,0,0,0,2,0
0,0,0,24,0,0,0,0,0,0,0,3,0,13
0,0,0,8,0,0,0,0,0,11,0,0,18,0
0,0,0,10,0,5,0,0,3,9,1,10,0,54
0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,1,0,8,0,3,0,0,0,0,12,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,4,0
0,1,0,15,0,1,0,0,6,0,0,0,0,13
0,1,0,0,0,0,0,0,0,0,1,14,3,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,11
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0,12
2,0,0,0,0,0,2,0,0,9,16,0,0,11
0,0,0,0,0,0,0,0,0,4,0,0,0,14
1,0,0,0,0,0,2,0,0,3,1,0,20,0
0,0,0,0,0,1,0,0,0,0,0,9,0,23
0,0,0,21,0,0,0,0,0,0,3,3,0,1
1,0,0,8,0,0,0,0,3,0,0,9,11,0
11,2,0,7,0,0,0,0,2,0,0,0,0,8
0,0,0,9,0,0,0,0,0,0,16,0,0,33
0,0,0,4,0,0,0,0,0,0,12,0,0,6
0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,1,7,0,3,20
0,0,0,3,0,0,0,0,0,0,4,0,0,11
1,0,0,6,0,0,0,0,8,1,0,14,0,19
0,0,0,13,0,0,0,0,0,0,0,0,4,3
0,0,0,11,0,0,0,0,1,0,0,0,10,0
0,0,0,4,0,6,0,0,0,0,0,17,9,0
0,0,0,5,0,2,0,0,3,1,0,0,27,0
0,0,0,4,0,1,0,0,0,0,0,0,0,15
1,1,0,10,0,0,0,0,0,1,0,0,17,0
0,2,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,4,0,0,5,0,0
0,0,0,14,0,0,0,0,0,0,0,0,0,35
1,0,0,12,0,5,0,0,0,0,0,0,0,23
0,0,0,3,0,0,0,0,0,0,3,1,0,0
3,0,0,5,0,4,0,0,0,0,2,0,0,0
0,0,0,8,0,0,0,0,0,6,1,1,17,0
0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,2,0,0,1,0,1,0,10,0
0,0,2,4,0,0,0,0,0,1,0,0,1,13
0,0,3,0,0,0,0,0,0,0,0,10,0,27
0,0,2,0,0,0,0,0,1,0,7,0,0,21
0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,13,0,6
0,3,0,8,0,0,0,0,0,0,0,1,0,4
3,0,2,0,0,0,0,0,3,2,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,10,12,0,31
0,0,1,0,0,0,0,0,0,6,1,5,0,5
0,0,0,21,0,0,0,0,5,4,0,0,10,0
0,0,0,15,0,0,0,0,0,0,0,0,0,18
4,0,0,0,0,0,0,0,0,0,3,0,0,25
2,0,0,0,0,0,0,0,0,10,0,0,9,14
0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,11,0,0,4,0,0
0,0,0,6,0,0,0,0,0,0,7,0,0,0
9,0,1,2,1,0,0,0,0,2,0,0,0,13
0,0,6,0,0,0,0,0,0,0,2,0,0,5
1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,11,20,12,0,0,0,0,0,0,0,6,15
0,0,3,0,0,0,0,0,0,0,0,0,20,1
3,0,2,0,5,0,0,0,8,0,0,0,0,0
0,0,3,0,9,0,0,0,4,1,0,0,5,0
